contact_id,user_id,first_name,last_name,email,phone,residence,company,birthday,added_date,friendship_score,relationship_context
1,11,Min,Dysart,mdysart0@slideshare.net,603-223-8757,Haiyang,Edgetag,12/13/70,4/23/25,1.3,Donec quis orci eget orci vehicula condimentum.
2,9,Natka,Gorton,ngorton1@eepurl.com,613-329-8510,Manzanillo,Devbug,5/14/58,4/21/25,8.6,Morbi non lectus.
3,4,Van,Snoday,vsnoday2@google.com,754-418-3350,Sendangagung,Avavee,11/23/81,4/21/25,7.9,Maecenas tincidunt lacus at velit.
4,4,Allene,Rosetti,arosetti3@google.pl,621-265-8150,Cardal,Browsezoom,12/13/85,4/20/25,3.3,Fusce posuere felis sed lacus.
5,2,Venus,Mealand,vmealand4@reference.com,547-966-9323,Jaguarari,Skyble,12/28/84,4/20/25,0.7,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
6,4,Donnamarie,Dreye,ddreye5@plala.or.jp,911-815-4026,Kropotkin,Feedfire,11/13/58,4/20/25,0.1,Aenean fermentum.
7,8,Isa,Wyndham,iwyndham6@godaddy.com,333-264-4232,Kosong,Layo,9/6/58,4/20/25,1.1,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
8,3,Allison,Pickwell,apickwell7@multiply.com,547-881-9759,Kedian,Quimba,12/24/53,4/25/25,1.1,Suspendisse potenti.
9,3,Ashil,Duddell,aduddell8@disqus.com,694-237-6978,Pinhais,Fiveclub,11/17/61,4/22/25,5.9,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
10,9,Barris,O'Farris,bofarris9@posterous.com,378-225-4281,Jardín,Quatz,9/12/59,4/23/25,5.6,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
11,11,Brod,Salasar,bsalasara@shop-pro.jp,984-452-3915,Sukamaju,Jamia,5/1/58,4/22/25,7.2,Duis at velit eu est congue elementum.
12,11,Eadie,Masi,emasib@yellowbook.com,554-248-4797,Sardasht,Thoughtbridge,6/27/73,4/22/25,5.0,Cras in purus eu magna vulputate luctus.
13,7,Hamlen,Ensley,hensleyc@utexas.edu,725-612-8719,Ilioúpoli,Flipbug,5/25/81,4/21/25,8.8,In blandit ultrices enim.
14,11,Angil,Alp,aalpd@bloglovin.com,973-931-2195,Ilebo,Topiclounge,1/19/91,4/20/25,6.2,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
15,10,Anjela,Ffrench,affrenche@blog.com,353-868-8564,Xishaping,Zoomdog,7/11/94,4/25/25,7.0,Integer non velit.
16,6,Michel,Bento,mbentof@nature.com,167-642-7825,Vellinge,Muxo,10/23/01,4/20/25,8.3,Mauris lacinia sapien quis libero.
17,4,Hadleigh,Klesl,hkleslg@nba.com,466-995-4683,Xinó Neró,Yodoo,1/27/89,4/20/25,5.4,In eleifend quam a odio.
18,8,Aubrey,Ellsbury,aellsburyh@state.gov,267-234-4341,Hukou,Roomm,2/5/98,4/20/25,0.3,Duis aliquam convallis nunc.
19,11,Kandace,Claiton,kclaitoni@fema.gov,916-242-9755,Ninh Giang,Skilith,12/27/75,4/24/25,1.9,Nullam porttitor lacus at turpis.
20,11,Margit,Sherme,mshermej@smh.com.au,307-392-4730,Baran,Realcube,1/30/70,4/21/25,6.3,In hac habitasse platea dictumst.
21,7,Jacqueline,Plumbridge,jplumbridgek@phoca.cz,205-402-3133,Tigbinan,Livetube,7/14/07,4/25/25,2.8,Ut tellus.
22,1,Donalt,Hardwidge,dhardwidgel@google.com,315-661-6206,Boca Chica,Brainsphere,11/24/62,4/22/25,5.9,Sed accumsan felis.
23,1,Valentina,Colcomb,vcolcombm@google.de,330-972-5245,Mogilany,Livefish,6/24/66,4/22/25,6.5,In blandit ultrices enim.
24,4,Aurilia,Getty,agettyn@blogs.com,493-962-6823,Al Jumaylīyah,Roombo,10/31/54,4/20/25,9.1,Curabitur gravida nisi at nibh.
25,10,Percy,Oneill,poneillo@google.com,926-342-1195,Kampungladang,Layo,3/22/80,4/23/25,8.5,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
26,10,Micah,Maplesden,mmaplesdenp@4shared.com,900-216-5201,Alupay,Agivu,5/18/68,4/23/25,9.5,Sed sagittis.
27,1,Georgianna,Hawtin,ghawtinq@mit.edu,231-295-9951,Maykor,Brainverse,12/25/83,4/25/25,3.2,Nulla facilisi.
28,7,Johnathon,Housaman,jhousamanr@jiathis.com,651-872-6356,Chyňava,Edgeclub,11/8/85,4/22/25,8.6,Quisque porta volutpat erat.
29,4,Crystie,Mountstephen,cmountstephens@businesswire.com,813-637-3214,Shirochanka,Cogidoo,10/3/82,4/20/25,0.1,Etiam pretium iaculis justo.
30,5,Darya,Diack,ddiackt@vkontakte.ru,630-437-1199,Cali,Abatz,9/21/80,4/23/25,2.5,Etiam justo.
31,11,Verile,Douty,vdoutyu@google.com,268-995-4141,Slobodka,Quinu,9/10/53,4/21/25,1.3,Aliquam sit amet diam in magna bibendum imperdiet.
